scenario,model,rep,c_index,brier,auc,source_report,source_generated_on,source_sha256
eight_features,Dynamic DeepHit,3,0.8783,0.27323,0.9549,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,Hazard Transformer,3,0.6111,0.89553,0.6301,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,Logistic Hazard,3,0.4884,0.47696,0.4638,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,RNN-Surv,3,0.529,0.49035,0.6,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,DeepSurv,3,0.4744,0.48836,0.4725,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,GBSA,3,0.5474,0.53958,0.563,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,Survival RF,3,0.5283,0.51988,0.5469,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,Survival SVM,3,0.5396,0.48775,0.5949,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,Weibull AFT,3,0.5543,0.4846,0.5967,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,KFRE,3,0.5391,0.73697,0.5791,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
eight_features,Cox,4,0.4703,0.57763,0.4253,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,Dynamic DeepHit,4,0.8896,0.24912,0.9602,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,Hazard Transformer,4,0.5658,0.45549,0.5727,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,Logistic Hazard,4,0.5347,0.49861,0.5314,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,RNN-Surv,4,0.5267,0.49595,0.5752,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,DeepSurv,4,0.4896,0.50567,0.4927,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,GBSA,4,0.5463,0.53974,0.5606,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,Survival RF,4,0.5168,0.51869,0.5282,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
